ID,condition,Ns1,Ns2,acc,M_rt,a,z,v1,v2,t0,converge,-LLE,AIC,BIC,sep,p.acc,p.M_rt,p.a,p.z,p.v1,p.v2,p.t0,p.convergence,p.converge
7410,low_0,40,20,0.95,0.7396333333333334,1.6702940063570122,0.4127518875560501,-2.7092044957197468,1.2267989348075352,0.37100489687756244,0,-5.8387432423766645,-1.677486484753329,8.794236326357174,NA,0.9666666666666667,0.7278355952329852,1.7421596433748856,0.23978659000434965,-2.9655573323731144,1.3111745593938968,0.35064988317475965,NA,0
7410,high_0,40,19,0.8305084745762712,0.8268813559322034,1.4751435191161195,0.31802954075105194,-1.436824997149757,0.6952700169536501,0.40441791097339796,0,23.32435635877151,56.64871271754302,67.03639993707162,NA,0.8813559322033898,0.8541179261186752,1.6186689408202666,0.20635461668093086,-1.3007521263781876,0.9278884700593408,0.3969617728249676,NA,0
7410,low_1,40,20,0.9166666666666666,0.6804,1.4819995282629046,0.47710995283186647,-3.2532397047637636,0.38797273953685235,0.354920756847801,0,-11.052850468771275,-12.10570093754255,-1.6339781264320479,NA,0.9,0.6066118939006147,1.239580169521802,0.38569648587780864,-3.602596728720999,0.7764519388740156,0.3788807119801292,NA,0
7410,high_1,40,20,0.7166666666666667,0.8648,1.5430483380408706,0.25039898402505756,-0.6074246161986501,0.5770327510948774,0.40385782185496855,0,36.96248161958018,83.92496323916036,94.39668605027086,NA,0.7166666666666667,0.7969675789778669,1.6630237520555669,0.1322215876396971,-0.801297123976513,0.22910303089777956,0.4038452582752872,NA,0
17709,low_0,40,20,0.9,0.4466833333333333,0.9472876668332573,0.6887835221980321,-3.8642028536320874,0.8711415282687766,0.30878603963818263,0,-56.62920836374977,-103.25841672749954,-92.78669391638903,NA,0.8666666666666667,0.461393960859813,0.9840150093193283,0.7417211745460799,-4.272041288632165,0.12656424985479015,0.3088543963231477,NA,0
17709,high_0,40,20,0.8166666666666667,0.57325,1.0722967255794948,0.45170892896931647,-2.0032885527711883,0.7670629574901366,0.3445463119640525,0,-12.461169161545746,-14.922338323091491,-4.450615511980988,NA,0.8,0.580231113026426,1.0570578483370505,0.5044500010557379,-1.8861840572676793,0.618499988724283,0.3420057429332622,NA,0
17709,low_1,40,20,0.95,0.4540666666666667,0.9643193393314802,0.47477961969291504,-3.2388232540613258,3.1622527837479995,0.3231712955396786,0,-63.32628559137956,-116.65257118275912,-106.18084837164861,NA,0.9333333333333333,0.43996181116820704,0.8829877362323102,0.6164718276924017,-3.4059078912838796,3.0288917941659044,0.31941932720584987,NA,0
17709,high_1,40,20,0.7333333333333333,0.5799,1.0350963208334738,0.49844626081601834,-1.396468488128129,0.15885859991626358,0.33749245126518357,0,-0.3608383969492599,9.27832320610148,19.750046017211982,NA,0.7333333333333333,0.5902848770462753,1.1098901571452,0.5072443332347176,-1.9504378602020234,-0.21738204861628926,0.3261137679385894,NA,0
17824,low_0,40,20,0.9333333333333333,0.6238666666666667,1.277853172875128,0.5027914108285357,-3.1688681827681,0.9887486991361403,0.3832853289763384,0,-28.002843625562054,-46.00568725112411,-35.533964440013605,NA,0.9333333333333333,0.6578142836992661,1.5157242987120934,0.36157291008071535,-3.6003331611039204,0.8951748418993821,0.3618112821359831,NA,0
17824,high_0,40,20,0.8833333333333333,0.5290166666666667,1.1056350814455471,0.6155105221071251,-2.9537569106246067,1.4820598870292667,0.33581499379935903,0,-32.590440703999406,-55.18088140799881,-44.70915859688831,NA,0.95,0.5923914117888062,1.2968540382097429,0.420210768615506,-2.553665250034122,1.7655227378825615,0.32558486951808224,NA,0
17824,low_1,40,19,0.8983050847457628,0.6152542372881356,1.2145265714701046,0.5328151340460995,-2.5949010666401855,1.2167658627271234,0.3710564964382989,0,-19.050149039748845,-28.10029807949769,-17.712610859969093,NA,0.9661016949152542,0.6082594974758976,1.3983875427467771,0.42177571825115123,-4.144899855404365,1.432730068909199,0.3775233996270343,NA,0
17824,high_1,40,20,0.8333333333333334,0.6572333333333333,1.420013494788776,0.39072400933371626,-1.6737872606498811,0.6857581271796326,0.27943905326020346,0,15.414105720288411,40.82821144057682,51.299934251687326,NA,0.9,0.5778780310544257,1.3428770177072253,0.31132139007525644,-2.0890179139172598,1.1507643811760455,0.28001143115309157,NA,0
40710,low_0,40,20,0.9666666666666667,0.6503666666666666,2.1322631991315344,0.21345338050648682,-2.04663785574792,2.3446700067945527,0.2015253989460571,0,1.5543319014230854,13.10866380284617,23.580386613956673,NA,0.95,0.5789743244766113,2.1497146853607663,0.111926697408192,-2.4395621693195064,1.8017701271611772,0.1952457225350041,NA,0
40710,high_0,40,20,0.85,0.6797166666666666,1.3124640962125063,0.3454242815481133,-1.6306897221847225,0.9051946831172275,0.35747883487423565,0,5.580644169133787,21.161288338267575,31.633011149378078,NA,0.7833333333333333,0.6369270152306578,1.3767850602278946,0.2803979668020143,-2.2098788153639073,-0.12103764217216655,0.3397211455012549,NA,0
40710,low_1,40,20,0.95,0.5468166666666666,1.5610723823752666,0.19118754170803445,-1.564570239696852,3.8071426068856264,0.3172278847721338,0,-30.95217653900692,-51.90435307801384,-41.43263026690334,NA,0.9666666666666667,0.5509991277442218,1.8209103305767629,0.07875551815979225,-1.3259123066649254,4.581292574779624,0.31948350164382244,NA,0
40710,high_1,40,20,0.9833333333333333,0.5431666666666667,1.604409297419443,0.21963418327052608,-3.205437540510553,2.8670903176590796,0.3141213673265426,0,-43.607066714813634,-77.21413342962727,-66.74241061851677,NA,0.95,0.4988613780917161,1.7970055711611774,0.09229521953272833,-2.6073081087941627,3.7611772351566892,0.3129473885074789,NA,0
