"sample_size","Hypothesis"
8,"Additive Model"
15,"Additive Model"
22,"Additive Model"
29,"Additive Model"
36,"Additive Model"
43,"Additive Model"
8,"Interaction Model"
15,"Interaction Model"
22,"Interaction Model"
29,"Interaction Model"
36,"Interaction Model"
43,"Interaction Model"
