"sample_size","Hypothesis"
8,"Additive Model"
15,"Additive Model"
22,"Additive Model"
29,"Additive Model"
36,"Additive Model"
43,"Additive Model"
8,"CL Model"
15,"CL Model"
22,"CL Model"
29,"CL Model"
36,"CL Model"
43,"CL Model"
