Block,start_time,end_time
control_n2_b1,2024-01-24 11:20:42.197402,2024-01-24 11:22:09.647402
control_n2_b2,2024-01-24 11:22:41.329716,2024-01-24 11:24:08.779716
control_n3_b1,2024-01-24 11:14:28.140567,2024-01-24 11:15:55.590567
control_n3_b2,2024-01-24 11:16:27.288036,2024-01-24 11:17:54.738036
stress_2n_b1,2024-01-24 11:35:09.866695,2024-01-24 11:36:37.316695
stress_2n_b2,2024-01-24 11:37:09.667879,2024-01-24 11:38:37.117879
stress_3n_b1,2024-01-24 11:29:18.507700,2024-01-24 11:30:45.957700
stress_3n_b2,2024-01-24 11:31:17.687441,2024-01-24 11:32:45.137441
