Block,start_time,end_time
control_n2_b1,2024-01-24 13:54:09.884564,2024-01-24 13:55:37.334564
control_n2_b2,2024-01-24 13:56:09.138035,2024-01-24 13:57:36.588035
control_n3_b1,2024-01-24 14:00:58.876301,2024-01-24 14:02:26.326301
control_n3_b2,2024-01-24 14:02:58.039949,2024-01-24 14:04:25.489949
stress_2n_b1,2024-01-24 14:10:59.829516,2024-01-24 14:12:27.279516
stress_2n_b2,2024-01-24 14:12:59.196650,2024-01-24 14:14:26.646650
stress_3n_b1,2024-01-24 14:16:52.591980,2024-01-24 14:18:20.041980
stress_3n_b2,2024-01-24 14:18:52.541075,2024-01-24 14:20:19.991075
