Block,start_time,end_time
control_n2_b1,2024-01-15 10:03:09.948294,2024-01-15 10:04:37.398294
control_n2_b2,2024-01-15 10:05:09.094701,2024-01-15 10:06:36.544701
control_n3_b1,2024-01-15 09:56:32.569988,2024-01-15 09:58:00.019988
control_n3_b2,2024-01-15 09:58:31.698038,2024-01-15 09:59:59.148038
stress_2n_b1,2024-01-15 10:17:06.701525,2024-01-15 10:18:34.151525
stress_2n_b2,2024-01-15 10:19:06.597971,2024-01-15 10:20:34.047971
stress_3n_b1,2024-01-15 10:11:28.628063,2024-01-15 10:12:56.078063
stress_3n_b2,2024-01-15 10:13:27.553013,2024-01-15 10:14:55.003013
