Block,start_time,end_time
control_n2_b1,2023-12-18 17:05:04.734938,2023-12-18 17:06:32.184938
control_n2_b2,2023-12-18 17:07:03.866777,2023-12-18 17:08:31.316777
control_n3_b1,2023-12-18 16:58:44.066261,2023-12-18 17:00:11.516261
control_n3_b2,2023-12-18 17:00:43.229935,2023-12-18 17:02:10.679935
stress_2n_b1,2023-12-18 17:19:43.351853,2023-12-18 17:21:10.801853
stress_2n_b2,2023-12-18 17:21:42.638609,2023-12-18 17:23:10.088609
stress_3n_b1,2023-12-18 17:13:51.496646,2023-12-18 17:15:18.946646
stress_3n_b2,2023-12-18 17:15:50.876783,2023-12-18 17:17:18.326783
