Block,start_time,end_time
control_n2_b1,2024-02-08 15:12:12.873204,2024-02-08 15:13:40.323204
control_n2_b2,2024-02-08 15:14:12.004008,2024-02-08 15:15:39.454008
control_n3_b1,2024-02-08 15:18:22.479417,2024-02-08 15:19:49.929417
control_n3_b2,2024-02-08 15:20:21.609803,2024-02-08 15:21:49.059803
stress_2n_b1,2024-02-08 15:26:23.652379,2024-02-08 15:27:51.102379
stress_2n_b2,2024-02-08 15:28:23.535596,2024-02-08 15:29:50.985596
stress_3n_b1,2024-02-08 15:32:04.652975,2024-02-08 15:33:32.102975
stress_3n_b2,2024-02-08 15:34:04.408856,2024-02-08 15:35:31.858856
