Block,start_time,end_time
control_n2_b1,2024-01-15 14:00:07.909792,2024-01-15 14:01:35.359792
control_n2_b2,2024-01-15 14:02:07.073716,2024-01-15 14:03:34.523716
control_n3_b1,2024-01-15 13:53:45.273559,2024-01-15 13:55:12.723559
control_n3_b2,2024-01-15 13:55:44.405007,2024-01-15 13:57:11.855007
stress_2n_b1,2024-01-15 14:13:49.315988,2024-01-15 14:15:16.765988
stress_2n_b2,2024-01-15 14:15:49.030074,2024-01-15 14:17:16.480074
stress_3n_b1,2024-01-15 14:08:06.400598,2024-01-15 14:09:33.850598
stress_3n_b2,2024-01-15 14:10:06.564898,2024-01-15 14:11:34.014898
