Block,start_time,end_time
control_n2_b1,2023-12-21 15:28:54.929648,2023-12-21 15:30:22.379648
control_n2_b2,2023-12-21 15:30:54.077776,2023-12-21 15:32:21.527776
control_n3_b1,2023-12-21 15:22:56.968845,2023-12-21 15:24:24.418845
control_n3_b2,2023-12-21 15:24:56.120453,2023-12-21 15:26:23.570453
stress_2n_b1,2023-12-21 15:42:32.068024,2023-12-21 15:43:59.518024
stress_2n_b2,2023-12-21 15:44:31.432177,2023-12-21 15:45:58.882177
stress_3n_b1,2023-12-21 15:37:09.897487,2023-12-21 15:38:37.347487
stress_3n_b2,2023-12-21 15:39:09.661859,2023-12-21 15:40:37.111859
