Block,start_time,end_time
control_n2_b1,2023-12-18 09:24:09.696698,2023-12-18 09:25:37.146698
control_n2_b2,2023-12-18 09:26:08.848347,2023-12-18 09:27:36.298347
control_n3_b1,2023-12-18 09:30:33.389038,2023-12-18 09:32:00.839038
control_n3_b2,2023-12-18 09:32:32.618141,2023-12-18 09:34:00.068141
stress_2n_b1,2023-12-18 09:39:43.102386,2023-12-18 09:41:10.552386
stress_2n_b2,2023-12-18 09:41:42.900645,2023-12-18 09:43:10.350645
stress_3n_b1,2023-12-18 09:45:38.992790,2023-12-18 09:47:06.442790
stress_3n_b2,2023-12-18 09:47:38.588908,2023-12-18 09:49:06.038908
