Block,start_time,end_time
control_n2_b1,2024-01-15 11:14:16.814567,2024-01-15 11:15:44.264567
control_n2_b2,2024-01-15 11:16:15.963688,2024-01-15 11:17:43.413688
control_n3_b1,2024-01-15 11:20:06.164434,2024-01-15 11:21:33.614434
control_n3_b2,2024-01-15 11:22:05.313061,2024-01-15 11:23:32.763061
stress_2n_b1,2024-01-15 11:27:55.838771,2024-01-15 11:29:23.288771
stress_2n_b2,2024-01-15 11:29:54.936356,2024-01-15 11:31:22.386356
stress_3n_b1,2024-01-15 11:33:33.500450,2024-01-15 11:35:00.950450
stress_3n_b2,2024-01-15 11:35:33.338452,2024-01-15 11:37:00.788452
