Block,start_time,end_time
control_n2_b1,2024-01-22 13:53:55.159529,2024-01-22 13:55:22.609529
control_n2_b2,2024-01-22 13:55:54.291879,2024-01-22 13:57:21.741879
control_n3_b1,2024-01-22 14:00:35.874343,2024-01-22 14:02:03.324343
control_n3_b2,2024-01-22 14:02:35.005472,2024-01-22 14:04:02.455472
stress_2n_b1,2024-01-22 14:09:17.769750,2024-01-22 14:10:45.219750
stress_2n_b2,2024-01-22 14:11:16.522510,2024-01-22 14:12:43.972510
stress_3n_b1,2024-01-22 14:15:27.631475,2024-01-22 14:16:55.081475
stress_3n_b2,2024-01-22 14:17:27.257875,2024-01-22 14:18:54.707875
