Block,start_time,end_time
control_n2_b1,2024-01-31 13:57:07.725360,2024-01-31 13:58:35.175360
control_n2_b2,2024-01-31 13:59:06.874615,2024-01-31 14:00:34.324615
control_n3_b1,2024-01-31 14:04:21.778735,2024-01-31 14:05:49.228735
control_n3_b2,2024-01-31 14:06:20.909955,2024-01-31 14:07:48.359955
stress_2n_b1,2024-01-31 14:14:00.107825,2024-01-31 14:15:27.557825
stress_2n_b2,2024-01-31 14:15:59.322638,2024-01-31 14:17:26.772638
stress_3n_b1,2024-01-31 14:19:58.001447,2024-01-31 14:21:25.451447
stress_3n_b2,2024-01-31 14:21:57.432491,2024-01-31 14:23:24.882491
