Block,start_time,end_time
control_n2_b1,2024-02-02 14:05:12.002448,2024-02-02 14:06:39.452448
control_n2_b2,2024-02-02 14:07:11.149376,2024-02-02 14:08:38.599376
control_n3_b1,2024-02-02 13:59:02.932277,2024-02-02 14:00:30.382277
control_n3_b2,2024-02-02 14:01:02.080152,2024-02-02 14:02:29.530152
stress_2n_b1,2024-02-02 14:19:10.603103,2024-02-02 14:20:38.053103
stress_2n_b2,2024-02-02 14:21:10.787213,2024-02-02 14:22:38.237213
stress_3n_b1,2024-02-02 14:13:26.522016,2024-02-02 14:14:53.972016
stress_3n_b2,2024-02-02 14:15:26.174568,2024-02-02 14:16:53.624568
