Block,start_time,end_time
control_n2_b1,2024-02-08 10:04:03.424833,2024-02-08 10:05:30.874833
control_n2_b2,2024-02-08 10:06:02.622982,2024-02-08 10:07:30.072982
control_n3_b1,2024-02-08 10:11:32.770623,2024-02-08 10:13:00.220623
control_n3_b2,2024-02-08 10:13:31.933917,2024-02-08 10:14:59.383917
stress_2n_b1,2024-02-08 10:20:55.976187,2024-02-08 10:22:23.426187
stress_2n_b2,2024-02-08 10:22:56.071191,2024-02-08 10:24:23.521191
stress_3n_b1,2024-02-08 10:26:59.130387,2024-02-08 10:28:26.580387
stress_3n_b2,2024-02-08 10:28:58.344538,2024-02-08 10:30:25.794538
