"ID","CL","Evaluation","block","trial_block","Errors","RT_Raw","cER","oER","Errors_cw","cER_cw","oER_cw","RT_cw","CL_evaluation","Mental","Temporal","Performance","Effort","Frustration","Eustress","Distress","NASA_TLX","Eustress_cw","Distress_cw","NASA_TLX_cw","Mental_cw","Temporal_cw","Performance_cw","Effort_cw","Frustration_cw","ratio"
491926,"high","0","1",0,2,0.7152,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.0484353912882982,"high_0",4,5,2,6,3,2,2,4.8,-1.081,-0.281,0.353,-1.041,0.483,-2.326,0.971,-0.971,1
511327,"high","0","1",0,1,0.7389,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,0.0721353912882983,"high_0",5,5,4,4,3,1.6,1.4,4.2,-1.481,-0.881,-0.247,-0.041,0.483,-0.326,-1.029,-0.971,1.14285714285714
588210,"high","0","1",0,3,0.7309,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,0.0641353912882983,"high_0",7,2,6,5,5,3.6,1.8,4.2,0.519,-0.481,-0.247,1.959,-2.517,1.674,-0.029,1.029,2
620017,"high","0","1",0,0,1.0106,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.343835391288298,"high_0",5,3,4,5,5,4,3.4,4.4,0.919,1.119,-0.047,-0.041,-1.517,-0.326,-0.029,1.029,1.17647058823529
648090,"high","0","1",0,2,0.85,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.183235391288298,"high_0",5,5,3,5,5,2.8,4,5,-0.281,1.719,0.553,-0.041,0.483,-1.326,-0.029,1.029,0.7
69369,"high","0","1",0,1,0.9304,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,0.263635391288298,"high_0",4,4,3,4,5,2.8,2.6,4.4,-0.281,0.319,-0.047,-1.041,-0.517,-1.326,-1.029,1.029,1.07692307692308
695008,"high","0","1",0,2,0.5771,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,-0.0896646087117017,"high_0",5,6,2,6,6,1.6,3.8,5.8,-1.481,1.519,1.353,-0.041,1.483,-2.326,0.971,2.029,0.421052631578947
719844,"high","0","1",0,6,0.6064,6,0,4.84399224806202,4.91182170542636,-0.0678294573643411,-0.0603646087117017,"high_0",5,6,2,5,3,2.8,2,5,-0.281,-0.281,0.553,-0.041,1.483,-2.326,-0.029,-0.971,1.4
727655,"high","0","1",0,1,0.6026,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,-0.0641646087117017,"high_0",5,2,2,5,4,1.6,2.8,4.4,-1.481,0.519,-0.047,-0.041,-2.517,-2.326,-0.029,0.029,0.571428571428572
729105,"high","0","1",0,0,1.023,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.356235391288298,"high_0",6,6,5,6,5,4.6,1.4,5.2,1.519,-0.881,0.753,0.959,1.483,0.674,0.971,1.029,3.28571428571429
765713,"high","0","1",0,0,0.873,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.206235391288298,"high_0",7,5,5,6,1,4.4,1.2,4.4,1.319,-1.081,-0.047,1.959,0.483,0.674,0.971,-2.971,3.66666666666667
785962,"high","0","1",0,3,0.9913,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,0.324535391288298,"high_0",5,6,2,6,6,2.4,3.4,5.8,-0.681,1.119,1.353,-0.041,1.483,-2.326,0.971,2.029,0.705882352941177
792672,"high","0","1",0,1,0.7775,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,0.110735391288298,"high_0",5,3,3,4,3,1.6,3,4,-1.481,0.719,-0.447,-0.041,-1.517,-1.326,-1.029,-0.971,0.533333333333333
837706,"high","0","1",0,1,0.5058,1,0,-0.156007751937985,-0.0881782945736433,-0.0678294573643411,-0.160964608711702,"high_0",6,6,3,5,5,2,2.6,5.4,-1.081,0.319,0.953,0.959,1.483,-1.326,-0.029,1.029,0.769230769230769
848371,"high","0","1",0,0,0.5336,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,-0.133164608711702,"high_0",5,2,5,5,1,3.8,1.2,3.2,0.719,-1.081,-1.247,-0.041,-2.517,0.674,-0.029,-2.971,3.16666666666667
878863,"high","0","1",0,3,0.8584,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,0.191635391288298,"high_0",6,5,3,5,5,1.6,2.6,5.2,-1.481,0.319,0.753,0.959,0.483,-1.326,-0.029,1.029,0.615384615384615
894278,"high","0","1",0,2,0.7149,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.0481353912882982,"high_0",6,5,4,5,5,3.2,3.4,5,0.119,1.119,0.553,0.959,0.483,-0.326,-0.029,1.029,0.941176470588235
905693,"high","0","1",0,2,0.7327,2,0,0.843992248062015,0.911821705426357,-0.0678294573643411,0.0659353912882983,"high_0",5,6,2,5,3,1.8,4,5,-1.281,1.719,0.553,-0.041,1.483,-2.326,-0.029,-0.971,0.45
908702,"high","0","1",0,4,1.15388888888889,3,1,2.84399224806202,1.91182170542636,0.932170542635659,0.487124280177187,"high_0",6,5,2,5,5,2.4,3.2,5.4,-0.681,0.919,0.953,0.959,0.483,-2.326,-0.029,1.029,0.75
93756,"high","0","1",0,3,0.446,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,-0.220764608711702,"high_0",6,4,2,6,5,3,3.2,5.4,-0.081,0.919,0.953,0.959,-0.517,-2.326,0.971,1.029,0.9375
957176,"high","0","1",0,3,0.8131,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,0.146335391288298,"high_0",5,6,3,6,5,2.2,2.6,5.4,-0.881,0.319,0.953,-0.041,1.483,-1.326,0.971,1.029,0.846153846153846
977604,"high","0","1",0,3,0.629888888888889,2,1,1.84399224806202,0.911821705426357,0.932170542635659,-0.0368757198228128,"high_0",5,6,1,6,5,2.2,3,5.8,-0.881,0.719,1.353,-0.041,1.483,-3.326,0.971,1.029,0.733333333333333
990692,"high","0","1",0,3,0.9491,3,0,1.84399224806202,1.91182170542636,-0.0678294573643411,0.282335391288298,"high_0",6,6,4,6,4,3.6,1.6,5.2,0.519,-0.681,0.753,0.959,1.483,-0.326,0.971,0.029,2.25
7410,"low","0","1",0,0,0.7867,0,0,-1.15600775193798,-1.08817829457364,-0.0678294573643411,0.119935391288298,"low_0",3,3,4,3,2,3,1,3,-0.081,-1.281,-1.447,-2.041,-1.517,-0.326,-2.029,-1.971,3
