1707223813.000000, 1707223813.000000, 1707223813.000000
32.000000, 32.000000, 32.000000
-28,-15,56
-27,-15,55
-30,-16,56
-28,-16,55
-27,-15,56
-28,-13,57
-27,-13,57
-27,-13,57
-29,-12,56
-19,-14,55
-17,-19,61
-24,-17,59
-12,-23,57
-42,-16,54
-40,-16,49
-31,-13,53
-28,-16,56
-20,-16,55
-20,-19,56
-22,-18,60
-24,-17,57
-19,-16,53
-19,-17,57
-19,-17,56
-19,-17,57
-20,-18,57
-19,-18,56
-18,-18,55
-14,-19,51
-15,-21,51
-37,-13,80
-26,-18,52
-31,-14,49
-30,-12,55
-30,-14,54
-30,-14,56
-23,-12,58
-22,-13,59
-19,-16,59
-21,-18,55
-26,-16,58
-22,-18,61
-24,-17,58
-23,-13,60
-24,-12,65
-26,-18,57
-28,-19,59
-28,-21,63
-25,-24,57
-25,-22,51
-25,-20,49
-27,-19,53
-33,-21,49
-34,-22,47
-32,-24,49
-29,-25,50
-28,-23,49
-28,-24,50
-29,-26,51
-28,-26,50
-27,-24,47
-26,-26,49
-22,-28,50
-20,-29,50
-20,-28,51
-21,-27,53
-20,-27,52
-20,-26,52
-24,-29,52
-26,-28,54
-17,-26,61
-17,-28,59
-19,-27,50
-20,-25,49
-20,-24,50
-27,-24,53
-27,-24,52
-30,-26,47
-36,-23,51
-34,-22,48
-26,-24,43
-25,-21,49
-37,-18,51
-39,-17,44
-35,-17,44
-48,-12,51
-77,-36,55
-27,-20,51
-36,-11,47
-48,-16,49
-40,-18,48
-45,-15,45
-41,-16,47
-38,-16,48
-40,-16,46
-41,-15,46
-43,-13,45
-40,-19,50
-43,-16,47
-41,-15,48
-42,-16,47
-44,-15,45
-39,-15,47
-39,-17,48
-40,-15,47
-38,-15,48
-42,-17,45
-50,-15,39
-53,-13,40
-37,-19,46
-46,-21,42
-48,-21,41
-46,-19,38
-43,-18,39
-37,-19,42
-37,-20,43
-35,-19,47
-35,-21,51
-34,-22,53
-35,-19,50
-39,-17,47
-37,-18,47
-34,-18,46
-33,-19,45
-35,-21,44
-40,-17,47
-47,-15,49
-45,-20,48
-42,-19,46
-41,-19,46
-36,-16,50
-40,-17,48
-40,-17,46
-42,-15,45
-37,-16,48
-24,-15,53
-16,-15,58
-15,-15,62
-15,-15,62
-14,-14,62
-17,-13,65
-16,-13,64
-9,-11,62
-8,-10,61
-14,-11,61
-10,-11,62
-9,-11,62
-9,-12,62
-12,-11,63
-20,-11,60
-14,-11,61
-17,-10,61
-29,-13,59
-24,-15,62
-19,-15,66
-24,-15,69
-27,-22,60
-37,-21,57
-28,-23,57
-28,-21,50
-26,-18,52
-27,-19,51
-32,-22,52
-35,-24,52
-34,-15,46
-12,-43,55
-29,-29,44
-37,-31,39
-32,-33,42
-32,-34,37
-31,-32,40
-36,-31,38
-36,-37,32
-39,-38,26
-45,-39,15
-45,-40,16
-42,-43,17
-47,-44,9
-51,-44,6
-50,-42,-7
-50,-43,-14
-48,-45,-21
-45,-45,-22
-42,-43,-20
-38,-43,-18
-36,-43,-20
-32,-47,-25
-34,-49,-30
-30,-49,-28
-31,-48,-28
-31,-46,-29
-38,-46,-29
-38,-45,-29
-38,-45,-28
-44,-45,-29
-38,-44,-23
-39,-44,-22
-37,-45,-21
-37,-46,-21
-40,-42,-22
-44,-42,-23
-49,-43,-21
-62,-47,-28
-65,-46,-27
-47,-42,-5
-44,-46,1
-38,-50,5
-29,-50,15
-28,-49,24
-23,-51,25
-23,-50,25
-11,-49,35
-9,-47,39
-14,-44,38
-3,-45,38
-1,-47,39
-3,-45,43
-4,-45,41
-1,-45,39
-1,-45,39
-2,-46,35
4,-39,47
4,-42,46
19,-45,45
15,-40,53
14,-41,48
12,-44,43
19,-40,47
12,-44,44
16,-44,40
18,-43,40
18,-43,40
17,-39,42
14,-38,43
18,-40,44
17,-39,44
19,-39,45
19,-39,47
19,-39,46
18,-36,43
20,-34,47
18,-37,47
16,-40,47
16,-37,51
17,-37,50
18,-37,49
19,-36,50
20,-37,48
19,-37,48
20,-37,51
21,-37,52
14,-37,51
12,-37,54
6,-39,52
6,-39,52
4,-39,51
-2,-41,45
-5,-41,39
-16,-42,36
-16,-42,39
-15,-46,34
-18,-45,30
-18,-46,33
-17,-48,36
-20,-48,32
-18,-43,32
-25,-46,26
-19,-46,28
-13,-46,27
-12,-44,31
-11,-43,37
-8,-37,42
-8,-35,46
1,-33,57
5,-33,66
-9,-24,66
-3,-21,67
-6,-21,69
-2,-17,76
-4,-18,75
-8,-21,67
-3,-20,61
-3,-19,59
0,-18,56
-5,-16,52
-16,-16,58
-22,-17,62
-26,-20,61
-28,-21,57
-26,-21,55
-28,-20,53
-25,-19,54
-24,-18,56
-22,-17,59
-25,-17,55
-23,-17,56
-24,-18,56
-24,-17,56
-24,-18,57
-23,-17,57
-23,-17,57
-24,-17,56
-24,-19,55
-21,-17,57
-21,-17,59
-21,-17,59
-23,-19,54
-23,-19,54
-21,-19,57
-23,-20,56
-20,-19,58
-21,-20,57
-25,-20,55
-25,-19,55
-25,-20,55
-25,-20,55
-25,-21,54
-25,-19,55
-25,-19,55
-22,-18,57
-22,-19,58
-27,-20,54
-23,-19,56
-23,-19,57
-23,-19,57
-25,-20,55
-26,-21,54
-25,-19,56
-23,-19,57
-24,-19,56
-24,-19,56
-24,-19,56
-24,-19,56
-24,-20,55
-24,-19,55
-25,-20,55
-24,-20,56
-24,-20,55
-24,-20,55
-24,-19,56
-24,-20,56
-24,-19,56
-24,-20,56
-23,-19,56
-25,-19,55
-24,-19,55
-24,-20,56
-25,-20,56
-25,-19,55
-23,-19,56
-24,-18,56
-26,-18,55
-23,-18,58
-25,-18,55
-26,-18,55
-25,-19,55
-25,-19,55
-26,-20,54
-25,-19,56
-25,-19,55
-25,-19,54
-26,-20,52
-24,-18,60
-13,-16,70
-18,-16,54
-22,-19,56
-23,-20,57
-21,-17,59
-23,-17,57
-22,-17,57
-23,-17,57
-23,-17,57
-23,-16,57
-24,-16,56
-23,-16,57
-23,-17,56
-25,-17,56
-24,-16,57
-24,-16,56
-24,-17,56
-24,-16,57
-24,-16,57
-23,-16,57
-23,-16,57
-24,-17,56
-23,-16,57
-24,-17,57
-24,-16,57
-24,-16,57
-24,-17,57
-24,-17,57
-23,-16,57
-23,-15,57
-23,-16,57
-23,-16,57
-23,-16,57
-23,-16,57
-22,-15,58
-22,-15,57
-22,-16,57
-22,-16,57
-22,-15,58
-22,-15,58
-22,-15,58
-22,-15,58
-21,-15,58
-22,-15,58
-22,-15,58
-22,-15,58
-22,-15,57
-22,-15,58
-22,-15,58
-22,-15,57
-21,-15,58
-22,-15,58
-21,-14,58
-21,-15,58
-21,-15,57
-21,-15,58
-22,-15,58
-22,-14,58
-21,-15,57
-22,-14,59
-22,-14,58
-21,-15,58
-21,-15,58
-22,-14,58
-21,-15,58
-20,-15,58
-21,-15,58
-22,-14,58
-22,-15,59
-22,-15,58
-21,-16,57
-20,-17,57
-19,-17,58
-20,-16,58
-21,-16,57
-21,-16,57
-21,-16,57
-22,-15,58
-22,-13,59
-22,-13,59
-22,-12,59
-20,-12,59
-19,-13,59
-19,-14,59
-20,-14,58
-21,-13,59
-19,-15,59
-20,-15,59
-21,-16,57
-21,-17,56
-21,-18,57
-21,-18,56
-21,-17,57
-20,-17,57
-20,-16,58
-20,-15,59
-20,-14,59
-20,-15,58
-20,-15,59
-20,-15,58
-20,-16,58
-19,-16,58
-19,-16,58
-18,-16,59
-19,-16,58
-19,-17,58
-19,-17,57
-20,-17,57
-20,-17,57
-20,-16,59
-19,-15,58
-20,-15,59
-19,-16,59
-19,-16,59
-19,-16,58
-18,-15,59
-19,-16,58
-20,-16,58
-19,-16,58
-20,-16,58
-20,-16,58
-19,-16,58
-20,-15,59
-20,-16,58
-19,-16,59
-20,-17,58
-19,-16,58
-20,-16,58
-20,-16,59
-20,-15,58
-20,-16,57
-20,-16,58
-19,-16,59
-20,-16,58
-20,-16,58
-20,-16,58
-20,-16,58
-20,-15,59
-20,-16,57
-20,-16,58
-20,-15,59
-20,-15,58
-20,-17,57
-19,-16,58
-20,-16,58
-20,-16,58
-20,-16,58
-20,-16,58
-20,-16,58
-20,-16,58
-20,-15,58
-19,-16,58
-19,-15,59
-20,-14,59
-20,-14,59
-20,-14,59
-21,-14,58
-20,-15,58
-19,-16,58
-19,-15,58
-19,-15,59
-19,-14,59
-19,-15,59
-19,-16,58
-19,-16,58
-20,-15,58
-19,-15,58
-20,-14,58
-20,-13,58
-20,-13,58
-20,-14,58
-21,-14,58
-21,-14,58
-20,-14,59
-20,-14,59
-19,-15,58
-19,-15,59
-19,-15,58
-19,-14,59
-19,-13,59
-20,-13,58
-20,-13,59
-20,-12,59
-20,-12,59
-19,-12,59
-19,-12,59
-19,-13,59
-17,-12,60
-16,-11,60
-17,-10,61
-17,-9,62
-18,-10,61
-18,-9,61
-18,-8,61
-16,-8,63
-14,-6,64
-14,-11,63
-12,-6,71
-13,-7,71
-9,-11,65
-13,-10,75
-10,-13,77
-4,-20,61
-9,-18,67
-8,-23,71
-3,-26,56
-1,-25,59
-4,-30,57
4,-31,60
9,-34,59
10,-36,52
11,-34,51
14,-35,42
20,-35,43
21,-34,46
18,-32,45
22,-31,45
29,-30,44
29,-30,42
30,-28,47
31,-29,42
35,-29,41
38,-28,39
38,-29,38
38,-27,37
38,-29,32
39,-28,32
36,-28,31
31,-29,31
28,-28,38
26,-36,30
26,-38,25
26,-38,27
23,-40,27
25,-41,34
27,-40,38
30,-39,39
33,-38,35
33,-38,34
36,-35,37
36,-34,35
42,-32,39
47,-28,42
45,-28,39
42,-30,32
42,-28,29
44,-27,31
48,-22,34
45,-21,31
48,-20,32
51,-21,33
48,-22,29
50,-22,31
51,-22,32
52,-23,30
53,-24,30
53,-24,30
54,-23,29
55,-23,29
53,-24,27
54,-24,25
55,-24,23
54,-24,24
54,-24,25
54,-25,23
55,-24,23
61,-23,27
59,-27,23
57,-28,20
48,-31,20
43,-30,20
41,-32,20
40,-33,20
40,-33,20
41,-32,19
42,-32,20
44,-31,21
46,-32,22
46,-33,22
47,-33,24
47,-33,25
47,-34,25
47,-34,26
46,-34,27
45,-34,27
45,-34,27
45,-33,28
44,-33,28
44,-33,27
45,-33,27
45,-33,27
46,-34,27
48,-34,28
48,-35,27
51,-37,27
52,-38,28
53,-39,29
54,-39,29
57,-39,26
55,-37,25
54,-34,27
53,-32,24
52,-30,22
48,-28,23
46,-26,22
47,-26,19
46,-27,18
45,-26,18
48,-25,18
48,-28,12
47,-28,12
46,-31,11
46,-32,10
47,-34,9
50,-36,6
51,-36,7
49,-36,6
47,-36,5
45,-36,4
44,-35,5
45,-36,5
46,-36,4
48,-37,5
51,-37,7
52,-38,8
53,-38,9
53,-37,10
53,-37,10
53,-36,10
51,-34,9
51,-33,9
50,-33,9
50,-32,8
50,-31,8
50,-32,7
51,-32,6
53,-34,6
52,-34,6
53,-34,6
